$0;1554185464868643283;1.13;KIEKER-SINGLETON;icedsoul-PC;1;false;0;NANOSECONDS;0
$1;1554185477536535689;public boolean com.thinkgem.jeesite.modules.sys.interceptor.MobileInterceptor.preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object) throws java.lang.Exception;<no-session-id>;7644297417507995673;1554185477536461555;1554185477536530561;icedsoul-PC;1;1
$1;1554185477540135828;public boolean com.thinkgem.jeesite.modules.sys.interceptor.MobileInterceptor.preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object) throws java.lang.Exception;<no-session-id>;7644297417507995672;1554185477519797649;1554185477540128719;icedsoul-PC;0;0
$1;1554185477540135879;public boolean com.thinkgem.jeesite.modules.sys.interceptor.MobileInterceptor.preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object) throws java.lang.Exception;<no-session-id>;7644297417507995673;1554185477520176441;1554185477540128737;icedsoul-PC;0;0
$1;1554185477592585058;public com.thinkgem.jeesite.modules.sys.entity.Menu com.thinkgem.jeesite.modules.sys.web.MenuController.get(java.lang.String);<no-session-id>;7644297417507995674;1554185477579501126;1554185477592574999;icedsoul-PC;1;1
$1;1554185477592707364;public com.thinkgem.jeesite.modules.sys.entity.Menu com.thinkgem.jeesite.modules.sys.web.MenuController.get(java.lang.String);<no-session-id>;7644297417507995674;1554185477568276748;1554185477592703298;icedsoul-PC;0;0
$1;1554185477598891767;public com.thinkgem.jeesite.modules.oa.entity.OaNotify com.thinkgem.jeesite.modules.oa.web.OaNotifyController.get(java.lang.String);<no-session-id>;7644297417507995675;1554185477587889856;1554185477598880525;icedsoul-PC;1;1
$1;1554185477599516848;public com.thinkgem.jeesite.modules.oa.entity.OaNotify com.thinkgem.jeesite.modules.oa.web.OaNotifyController.get(java.lang.String);<no-session-id>;7644297417507995675;1554185477568282647;1554185477599508878;icedsoul-PC;0;0
$1;1554185477600530323;public java.lang.String com.thinkgem.jeesite.modules.sys.web.MenuController.tree();<no-session-id>;7644297417507995676;1554185477598929141;1554185477600521784;icedsoul-PC;1;1
$1;1554185477600560328;public java.lang.String com.thinkgem.jeesite.modules.sys.web.MenuController.tree();<no-session-id>;7644297417507995676;1554185477593049270;1554185477600557073;icedsoul-PC;0;0
$1;1554185477608619545;public void com.thinkgem.jeesite.modules.sys.interceptor.MobileInterceptor.postHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object,org.springframework.web.servlet.ModelAndView) throws java.lang.Exception;<no-session-id>;7644297417507995677;1554185477608439747;1554185477608612412;icedsoul-PC;1;1
$1;1554185477611978290;public void com.thinkgem.jeesite.modules.sys.interceptor.MobileInterceptor.postHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object,org.springframework.web.servlet.ModelAndView) throws java.lang.Exception;<no-session-id>;7644297417507995677;1554185477605632434;1554185477611969775;icedsoul-PC;0;0
$1;1554185477800690546;public java.lang.String com.thinkgem.jeesite.modules.oa.web.OaNotifyController.selfCount(com.thinkgem.jeesite.modules.oa.entity.OaNotify,org.springframework.ui.Model);<no-session-id>;7644297417507995678;1554185477629607109;1554185477800682469;icedsoul-PC;1;1
$1;1554185477800717445;public java.lang.String com.thinkgem.jeesite.modules.oa.web.OaNotifyController.selfCount(com.thinkgem.jeesite.modules.oa.entity.OaNotify,org.springframework.ui.Model);<no-session-id>;7644297417507995678;1554185477629411544;1554185477800714861;icedsoul-PC;0;0
$1;1554185477814695165;public boolean com.fasterxml.jackson.databind.ObjectMapper.canSerialize(java.lang.Class);<no-session-id>;7644297417507995679;1554185477810294405;1554185477814684647;icedsoul-PC;0;0
$1;1554185477822111722;public void com.thinkgem.jeesite.modules.sys.interceptor.MobileInterceptor.postHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object,org.springframework.web.servlet.ModelAndView) throws java.lang.Exception;<no-session-id>;7644297417507995680;1554185477822066205;1554185477822107573;icedsoul-PC;1;1
$1;1554185477824843186;public void com.thinkgem.jeesite.modules.sys.interceptor.MobileInterceptor.postHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object,org.springframework.web.servlet.ModelAndView) throws java.lang.Exception;<no-session-id>;7644297417507995680;1554185477821581597;1554185477824836224;icedsoul-PC;0;0
$1;1554185477827286600;public void com.thinkgem.jeesite.modules.sys.interceptor.MobileInterceptor.afterCompletion(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object,java.lang.Exception) throws java.lang.Exception;<no-session-id>;7644297417507995681;1554185477826801677;1554185477827245301;icedsoul-PC;1;1
$1;1554185477833197939;public void com.thinkgem.jeesite.modules.sys.interceptor.MobileInterceptor.afterCompletion(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object,java.lang.Exception) throws java.lang.Exception;<no-session-id>;7644297417507995681;1554185477824915240;1554185477833190133;icedsoul-PC;0;0
$1;1554185477949492723;public void com.thinkgem.jeesite.modules.sys.interceptor.MobileInterceptor.afterCompletion(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object,java.lang.Exception) throws java.lang.Exception;<no-session-id>;7644297417507995682;1554185477949434606;1554185477949486838;icedsoul-PC;1;1
$1;1554185477952367183;public void com.thinkgem.jeesite.modules.sys.interceptor.MobileInterceptor.afterCompletion(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object,java.lang.Exception) throws java.lang.Exception;<no-session-id>;7644297417507995682;1554185477948021245;1554185477952358500;icedsoul-PC;0;0
$1;1554185477988184615;public boolean com.thinkgem.jeesite.modules.sys.interceptor.LogInterceptor.preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object) throws java.lang.Exception;<no-session-id>;7644297417507995683;1554185477987771584;1554185477988178707;icedsoul-PC;1;1
$1;1554185477990385596;public boolean com.thinkgem.jeesite.modules.sys.interceptor.LogInterceptor.preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object) throws java.lang.Exception;<no-session-id>;7644297417507995683;1554185477985423882;1554185477990369606;icedsoul-PC;0;0
$1;1554185477990917206;public boolean com.thinkgem.jeesite.modules.sys.interceptor.MobileInterceptor.preHandle(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.Object) throws java.lang.Exception;<no-session-id>;7644297417507995684;1554185477990871746;1554185477990913269;icedsoul-PC;1;1
